series_id,year,period,period_name,value,source_url,licence,fetched_on
WPU0811,2024,M03,March,255.753,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2024,M02,February,247.904,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2024,M01,January,244.297,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2023,M12,December,241.386,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2023,M11,November,240.798,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2023,M10,October,253.466,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2023,M09,September,261.997,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2023,M08,August,266.602,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2023,M07,July,279.386,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2023,M06,June,267.391,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2023,M05,May,270.867,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2023,M04,April,271.188,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2023,M03,March,274.339,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2023,M02,February,277.205,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0811,2023,M01,January,268.020,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2026,M08,August,562.184,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2026,M07,July,561.882,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2026,M06,June,559.197,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2026,M05,May,555.136,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2026,M04,April,552.735,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2026,M03,March,551.917,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2026,M02,February,551.283,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2026,M01,January,549.742,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2025,M12,December,530.813,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2025,M11,November,529.741,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2025,M10,October,530.068,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2025,M09,September,529.585,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2025,M08,August,529.295,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2025,M07,July,529.105,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2025,M06,June,527.801,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2025,M05,May,525.464,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2025,M04,April,523.875,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2025,M03,March,522.392,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2025,M02,February,523.539,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2025,M01,January,520.421,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2024,M12,December,500.486,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2024,M11,November,499.723,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2024,M10,October,499.677,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2024,M09,September,498.699,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2024,M08,August,497.818,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2024,M07,July,493.173,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2024,M06,June,489.514,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2024,M05,May,489.005,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2024,M04,April,487.973,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2024,M03,March,486.019,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2024,M02,February,484.347,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2024,M01,January,483.259,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2023,M12,December,464.123,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2023,M11,November,462.940,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2023,M10,October,462.522,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2023,M09,September,462.530,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2023,M08,August,462.007,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2023,M07,July,457.388,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2023,M06,June,459.279,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2023,M05,May,456.832,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2023,M04,April,454.204,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2023,M03,March,453.625,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2023,M02,February,453.383,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1321,2023,M01,January,448.834,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2026,M08,August,355.417,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2026,M07,July,356.017,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2026,M06,June,354.671,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2026,M05,May,351.603,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2026,M04,April,343.547,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2026,M03,March,341.521,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2026,M02,February,340.058,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2026,M01,January,340.654,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2025,M12,December,338.314,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2025,M11,November,337.728,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2025,M10,October,337.681,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2025,M09,September,339.420,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2025,M08,August,339.067,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2025,M07,July,339.440,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2025,M06,June,340.152,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2025,M05,May,340.676,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2025,M04,April,338.789,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2025,M03,March,337.270,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2025,M02,February,337.422,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2025,M01,January,340.761,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2024,M12,December,340.324,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2024,M11,November,340.217,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2024,M10,October,341.299,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2024,M09,September,343.118,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2024,M08,August,343.813,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2024,M07,July,343.188,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2024,M06,June,343.471,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2024,M05,May,344.099,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2024,M04,April,345.170,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2024,M03,March,343.256,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2024,M02,February,343.345,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2024,M01,January,344.453,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2023,M12,December,342.723,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2023,M11,November,344.142,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2023,M10,October,344.134,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2023,M09,September,344.004,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2023,M08,August,343.352,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2023,M07,July,343.862,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2023,M06,June,344.141,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2023,M05,May,346.778,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2023,M04,April,349.881,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2023,M03,March,350.517,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2023,M02,February,350.204,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU0721,2023,M01,January,354.163,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2026,M08,August,184.181,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2026,M07,July,183.982,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2026,M06,June,184.001,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2026,M05,May,184.129,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2026,M04,April,182.729,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2026,M03,March,182.551,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2026,M02,February,183.012,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2026,M01,January,182.530,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2025,M12,December,180.683,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2025,M11,November,180.591,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2025,M10,October,179.586,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2025,M09,September,179.209,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2025,M08,August,179.104,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2025,M07,July,177.188,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2025,M06,June,172.571,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2025,M05,May,172.208,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2025,M04,April,171.996,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2025,M03,March,175.164,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2025,M02,February,175.162,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2025,M01,January,174.907,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2024,M12,December,173.938,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2024,M11,November,173.616,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2024,M10,October,173.613,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2024,M09,September,173.385,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2024,M08,August,173.305,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2024,M07,July,173.082,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2024,M06,June,172.417,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2024,M05,May,173.219,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2024,M04,April,172.745,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2024,M03,March,172.910,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2024,M02,February,172.901,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2024,M01,January,172.704,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2023,M12,December,171.815,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2023,M11,November,170.762,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2023,M10,October,170.349,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2023,M09,September,170.039,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2023,M08,August,169.498,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2023,M07,July,170.914,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2023,M06,June,172.199,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2023,M05,May,171.544,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2023,M04,April,172.607,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2023,M03,March,173.057,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2023,M02,February,173.319,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
WPU1311,2023,M01,January,167.328,https://www.bls.gov/ppi/,US federal government work - public domain,2026-09-24
