cost_code,description,csi_division,cost_type,unit,notes
09-090,Painting interior,09,Subcontract,SF,"Substrate area; coats stated"
09-100,Wall protection and corner guards,09,Material,LF,"Length or count depending on product"
09-110,Terrazzo and specialty floors,09,Subcontract,SF,"Specialist trade; long lead"
10-010,Toilet accessories,10,Material,EA,"Count by type"
10-020,Signage and wayfinding,10,Subcontract,EA,"Count by sign type"
10-030,Fire extinguishers and cabinets,10,Material,EA,"Count with type"
10-040,Wall and corner protection,10,Material,LF,"Same as protective wall items, keep one code"
10-050,Operable partitions,10,Subcontract,SF,"Panel area; track and hardware included"
10-060,Lockers and shelving,10,Subcontract,EA,"Count by unit"
12-010,Window treatments,12,Subcontract,SF,"Covering area"
12-020,Furniture and casegoods,12,Subcontract,LS,"Often owner-supplied, confirm responsibility"
14-010,Elevator equipment and installation,14,Subcontract,EA,"Per car; hoistway and power excluded"
14-020,Elevator cab finishes,14,Subcontract,EA,"Per car; schedule-driven"
14-030,Escalators,14,Subcontract,EA,"Per unit"
21-010,Fire sprinkler piping,21,Subcontract,LF,"Pipe length by diameter"
21-020,Sprinkler heads,21,Material,EA,"Count by type and temperature rating"
21-030,Fire pump and standpipe,21,Subcontract,EA,"Pump, controller, and piping"
21-040,Fire suppression special systems,21,Subcontract,LS,"Kitchen, data room, or other clean agent"
22-010,Sanitary drainage,22,Subcontract,LF,"Pipe length; excavation excluded"
22-020,Water distribution,22,Subcontract,LF,"Pipe length; insulation separate"
22-030,Plumbing fixtures,22,Material,EA,"Count by fixture type"
22-040,Plumbing fixture rough-in,22,Labor,EA,"Per fixture; carrier and venting included"
22-050,Domestic water heating,22,Subcontract,EA,"Type, capacity, and venting"
22-060,Gas piping,22,Subcontract,LF,"Pipe length; pressure testing included"
23-010,Ductwork,23,Subcontract,LB,"Sheet metal weight; insulation separate"
23-020,Duct insulation,23,Subcontract,SF,"Surface area"
23-030,Air handling units,23,Subcontract,EA,"Includes curbs and connections if stated"
23-040,Terminal units and diffusers,23,Material,EA,"Count by type"
23-050,Refrigerant piping,23,Subcontract,LF,"Pipe length by diameter"
23-060,HVAC controls and building automation,23,Subcontract,LS,"Point count drives cost"
23-070,Testing adjusting and balancing,23,Subcontract,LS,"Commissioning level drives scope"
26-010,Electrical service and switchgear,26,Subcontract,EA,"Count by equipment item"
26-020,Panelboards,26,Subcontract,EA,"Count by panel type"
26-030,Feeders and conduit,26,Labor,LF,"Length by size and method"
26-040,Branch wiring,26,Labor,EA,"Per device or per circuit"
26-050,Wiring devices,26,Material,EA,"Count by device type"
26-060,Lighting fixtures,26,Material,EA,"Count by fixture type"
26-070,Lighting control systems,26,Subcontract,LS,"Sensor and panel count drives cost"
26-080,Grounding and bonding,26,Subcontract,LS,"Lump sum where measurement impractical"
26-090,Photovoltaic rough-in,26,Labor,LS,"Conduit and raceways for future panels"
27-010,Structured cabling,27,Subcontract,EA,"Count by outlet"
27-020,Communications racks and equipment,27,Subcontract,EA,"Count by rack"
28-010,Fire alarm system,28,Subcontract,EA,"Count by device; panel separate"
28-020,Security and access control,28,Subcontract,EA,"Count by device"
28-030,CCTV and video systems,28,Subcontract,EA,"Count by camera"
31-010,Clearing and grubbing,31,Equipment,ACRE,"Plan area"
31-020,Bulk excavation,31,Equipment,CY,"Bank measure"
31-030,Rock excavation,31,Equipment,CY,"Bank measure; method stated"
31-040,Structural fill and compaction,31,Subcontract,CY,"Compacted in place"
31-050,Erosion and sediment control,31,Other,LS,"Duration and inspection frequency drive cost"
31-060,Dewatering,31,Other,MO,"Duration-based; permit conditions apply"
31-070,Soil treatment and termite control,31,Subcontract,SF,"Treated area"
32-010,Base course and subbase,32,Subcontract,TON,"Placed tons"
32-020,Asphalt paving,32,Subcontract,TON,"Placed tons; thickness stated"
32-030,Concrete paving,32,Subcontract,SY,"Paved area"
32-040,Curbs and gutters,32,Subcontract,LF,"Length"
32-050,Site concrete walks,32,Subcontract,SF,"Area"
32-060,Landscaping and planting,32,Subcontract,LS,"Allowance or by plant count"
32-070,Fencing and gates,32,Subcontract,LF,"Length by fence type"
33-010,Storm drainage,33,Subcontract,LF,"Pipe length by diameter"
33-020,Water mains,33,Subcontract,LF,"Pipe length; fittings and valves separate"
33-030,Sanitary sewer,33,Subcontract,LF,"Pipe length; manholes counted separately"
33-040,Manholes and structures,33,Subcontract,EA,"Count by depth and type"
33-050,Utility trenching,33,Equipment,CY,"Volume; bedding and backfill included or separate"
